mite ID,zone ID,status,max diff,local diff,recording
mite_0012,Alive,dead,13.0,10.666666666666666,1
mite_0012,Alive,alive,88.0,72.66666666666667,2
mite_0012,Alive,dead,15.0,13.666666666666666,3
mite_0012,Alive,alive,82.0,65.66666666666667,4
mite_0012,Alive,dead,12.0,11.0,5
mite_0012,Alive,alive,89.0,70.0,6
mite_0013,Dead,dead,13.0,12.0,1
mite_0013,Dead,dead,10.0,10.0,2
mite_0013,Dead,dead,12.0,10.666666666666666,3
mite_0013,Dead,dead,11.0,9.666666666666666,4
mite_0013,Dead,dead,13.0,11.333333333333334,5
mite_0013,Dead,dead,11.0,10.666666666666666,6
mite_0014,Alive,alive,51.0,49.333333333333336,1
mite_0014,Alive,dead,11.0,10.333333333333334,2
mite_0014,Alive,dead,12.0,10.666666666666666,3
mite_0014,Alive,alive,71.0,59.333333333333336,4
mite_0014,Alive,alive,66.0,52.0,5
mite_0014,Alive,dead,14.0,12.666666666666666,6
mite_0015,Alive,dead,13.0,11.0,1
mite_0015,Alive,alive,22.0,19.333333333333332,2
mite_0015,Alive,alive,62.0,51.333333333333336,3
mite_0015,Alive,alive,64.0,59.333333333333336,4
mite_0015,Alive,dead,15.0,11.333333333333334,5
mite_0015,Alive,dead,13.0,11.333333333333334,6
mite_0016,Alive,alive,62.0,53.0,1
mite_0016,Alive,alive,51.0,40.0,2
mite_0016,Alive,alive,62.0,47.0,3
mite_0016,Alive,alive,67.0,48.666666666666664,4
mite_0016,Alive,dead,10.0,9.333333333333334,5
mite_0016,Alive,dead,11.0,10.333333333333334,6
mite_0017,Dead,dead,10.0,9.333333333333334,1
mite_0017,Dead,dead,11.0,10.666666666666666,2
mite_0017,Dead,dead,10.0,9.333333333333334,3
mite_0017,Dead,dead,10.0,8.666666666666666,4
mite_0017,Dead,dead,11.0,9.666666666666666,5
mite_0017,Dead,dead,10.0,9.666666666666666,6
mite_0018,Alive,dead,12.0,10.666666666666666,1
mite_0018,Alive,dead,16.0,14.0,2
mite_0018,Alive,alive,43.0,39.0,3
mite_0018,Alive,alive,69.0,60.333333333333336,4
mite_0018,Alive,alive,52.0,51.0,5
mite_0018,Alive,dead,12.0,11.0,6
mite_0019,Alive,alive,71.0,59.666666666666664,1
mite_0019,Alive,alive,68.0,54.666666666666664,2
mite_0019,Alive,dead,13.0,11.666666666666666,3
mite_0019,Alive,alive,65.0,50.666666666666664,4
mite_0019,Alive,alive,60.0,54.333333333333336,5
mite_0019,Alive,alive,67.0,61.333333333333336,6
mite_0020,Alive,alive,73.0,61.333333333333336,1
mite_0020,Alive,alive,76.0,67.66666666666667,2
mite_0020,Alive,alive,80.0,71.0,3
mite_0020,Alive,alive,76.0,58.333333333333336,4
mite_0020,Alive,alive,81.0,76.66666666666667,5
mite_0020,Alive,alive,73.0,65.33333333333333,6
mite_0021,Alive,dead,13.0,12.0,1
mite_0021,Alive,alive,72.0,60.333333333333336,2
mite_0021,Alive,alive,72.0,63.0,3
mite_0021,Alive,dead,17.0,14.333333333333334,4
mite_0021,Alive,dead,11.0,10.666666666666666,5
